record_id,title,primary_category,document_type,source_name,published_date,published_year,rating_score,popularity,content_length,title_length,engagement_score,estimated_value
968,Untitled record,word_run,word_run,unknown,,,2.58,258.0,258,15,41.28,10691.5
1224,Untitled record,word_run,word_run,unknown,,,2.58,258.0,258,15,41.28,10691.5
956,Lagos college warns aesthetic medicine students on safety,json,json,the punch,,,2.46,246.0,246,57,39.36,9721.92
700,CDER and CBER accept first submission to ISTAND Pilot Program,json,json,fda.gov,,,2.44,244.0,244,61,39.04,9564.8
955,Nigeria’s painful loss of military men to insurgency,json,json,the punch,,,2.4,240.0,240,52,38.4,9254.4
954,Together we can eradicate this stowaway menace,json,json,the punch,,,2.35,235.0,235,46,37.6,8873.6
9,"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",news_api,news_api,the times of india,,,2.28,228.0,228,75,36.48,8353.92
176,Tech4Dev names Abraham Akpan country manager,json,json,the punch,,,2.28,228.0,228,44,36.48,8353.92
2,SWDC partners FTID to boost S’West rural devt,news_api,news_api,the punch,,,2.26,226.0,226,45,36.16,8208.32
147,"Your Next Sleep Tracker Isn’t a Watch, It’s Your Bedside Lamp",json,json,yanko design,,,2.1,210.0,210,61,33.6,7089.6
142,Kobo Libra 2 has better Kobo Remote connectivity,json,json,goodereader,,,2.05,205.0,205,48,32.8,6756.8
183,"Canadian and Global News Roundup: Space Missions, Scams, Health Alerts, and More",json,json,headtopics.com,,,1.99,199.0,199,80,31.84,6368.0
187,Exposing a Radiation-Hardened 2.4 GHz Wi-Fi Receiver to 500 Kilograys,json,json,hackaday,,,1.98,198.0,198,69,31.68,6304.32
120,Untitled record,word_run,word_run,unknown,,,1.94,194.0,194,15,31.04,6052.8
160,Untitled record,word_run,word_run,unknown,,,1.94,194.0,194,15,31.04,6052.8
201,Untitled record,word_run,word_run,unknown,,,1.94,194.0,194,15,31.04,6052.8
457,Untitled record,word_run,word_run,unknown,,,1.94,194.0,194,15,31.04,6052.8
713,Untitled record,word_run,word_run,unknown,,,1.94,194.0,194,15,31.04,6052.8
969,Untitled record,word_run,word_run,unknown,,,1.94,194.0,194,15,31.04,6052.8
1225,Untitled record,word_run,word_run,unknown,,,1.94,194.0,194,15,31.04,6052.8
184,"Chinese Scientists Bioengineering Plants With Firefly Genes to Glow, in Effort to Light Cities at Night",json,json,futurism,,,1.93,193.0,193,103,30.88,5990.72
946,"War disruptions fuel interest in EV retrofits, demand more than doubles",json,json,livemint,,,1.88,188.0,188,71,30.08,5685.12
185,Erdogan's digital Iron Curtain,json,json,israelnationalnews.com,,,1.86,186.0,186,30,29.76,5565.12
