record_id,primary_category,analysis_year,document_type_mysql,metric,value
309,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
310,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
311,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
312,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
313,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
314,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
315,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
316,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
317,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
318,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
319,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
320,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
321,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
322,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
323,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
324,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
325,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
326,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
327,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
328,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
329,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
330,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
331,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
332,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
333,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
334,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
335,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
336,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
337,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
338,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
339,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
340,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
341,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
358,scraped_json_api,,scraped_json_api,popularity,15.0
401,scraped_json_api,,scraped_json_api,popularity,15.0
415,scraped_json_api,,scraped_json_api,popularity,15.0
416,scraped_json_api,,scraped_json_api,popularity,15.0
417,scraped_json_api,,scraped_json_api,popularity,15.0
418,scraped_json_api,,scraped_json_api,popularity,15.0
471,excel_summary,,excel_summary,popularity,15.0
473,scraped_html,,scraped_html,popularity,15.0
474,scraped_html,,scraped_html,popularity,15.0
475,scraped_html,,scraped_html,popularity,15.0
476,scraped_html,,scraped_html,popularity,15.0
477,scraped_html,,scraped_html,popularity,15.0
478,scraped_html,,scraped_html,popularity,15.0
479,scraped_html,,scraped_html,popularity,15.0
480,scraped_html,,scraped_html,popularity,15.0
481,scraped_html,,scraped_html,popularity,15.0
482,scraped_html,,scraped_html,popularity,15.0
483,scraped_html,,scraped_html,popularity,15.0
484,scraped_html,,scraped_html,popularity,15.0
485,scraped_html,,scraped_html,popularity,15.0
486,scraped_html,,scraped_html,popularity,15.0
487,scraped_html,,scraped_html,popularity,15.0
488,scraped_html,,scraped_html,popularity,15.0
489,scraped_html,,scraped_html,popularity,15.0
490,scraped_html,,scraped_html,popularity,15.0
491,scraped_html,,scraped_html,popularity,15.0
492,scraped_html,,scraped_html,popularity,15.0
493,scraped_html,,scraped_html,popularity,15.0
494,scraped_html,,scraped_html,popularity,15.0
495,scraped_html,,scraped_html,popularity,15.0
496,scraped_html,,scraped_html,popularity,15.0
497,scraped_html,,scraped_html,popularity,15.0
498,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
499,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
500,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
501,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
502,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
