record_id,title,document_type,category,rating_score,mentions,popularity,language,published_year
182,Bitcoin And Ethereum Adoption Gets A Boost From Schwab Launch,json,json,2.6,,260.0,unknown,
183,"Canadian and Global News Roundup: Space Missions, Scams, Health Alerts, and More",json,json,1.99,,199.0,unknown,
184,"Chinese Scientists Bioengineering Plants With Firefly Genes to Glow, in Effort to Light Cities at Night",json,json,1.93,,193.0,unknown,
185,Erdogan's digital Iron Curtain,json,json,1.86,,186.0,unknown,
186,I didn’t realize how much of Amazon's Fallout set was actually real,json,json,1.08,,108.0,unknown,
187,Exposing a Radiation-Hardened 2.4 GHz Wi-Fi Receiver to 500 Kilograys,json,json,1.98,,198.0,unknown,
188,AI-Driven school expanding to major US cities despite union pushback,json,json,1.7100000000000002,,171.0,unknown,
189,"Student Asked His Tech Savvy Friend To Permanently Disable A School Chromebook Before Teachers Could Inspect It, So The Friend Used The Opportunity To Settle An Old Score And Fried The Laptop Completely",json,json,0.36,,36.0,unknown,
190,Red state city piles on charges for grandma arrested for crude costume at Trump protest,json,json,2.6,,260.0,unknown,
191,Untitled record,pdf,pdf,10.0,,1019.0,unknown,
192,Untitled record,pdf,pdf,2.83,,283.0,unknown,
193,Untitled record,pdf_two_column,pdf_two_column,10.0,,2124.0,unknown,
194,Untitled record,pdf_two_column,pdf_two_column,3.6,,360.0,unknown,
195,Untitled record,word,word,10.0,,1080.0,unknown,
196,Untitled record,word_two_column,word_two_column,10.0,,1877.0,unknown,
197,Untitled record,word_run,word_run,0.5,,50.0,unknown,
198,Untitled record,word_run,word_run,0.7000000000000001,,70.0,unknown,
199,Untitled record,word_run,word_run,2.74,,274.0,unknown,
200,Untitled record,word_run,word_run,2.58,,258.0,unknown,
201,Untitled record,word_run,word_run,1.94,,194.0,unknown,
202,Untitled record,word_run,word_run,0.4299999999999999,,43.0,unknown,
203,Untitled record,word_run,word_run,0.49,,49.0,unknown,
204,Untitled record,word_run,word_run,1.28,,128.0,unknown,
205,Election Update,excel,Politics,4.0,34.0,34.0,unknown,2026.0
206,AI Market Growth,excel,Business,7.0,28.0,28.0,unknown,2026.0
207,Sports Highlights,excel,Sports,5.0,19.0,19.0,unknown,2026.0
208,Climate Policy Shift,excel,Politics,3.0,23.0,23.0,unknown,2026.0
209,Café Culture Trends,excel,Culture,6.0,14.0,14.0,unknown,2026.0
210,München Startup Round,excel,Technology,8.0,17.0,17.0,unknown,2026.0
211,Žurnal Election Pulse,excel,Politics,5.0,21.0,21.0,unknown,2026.0
212,Streaming Rights Watch,excel,Business,4.0,26.0,26.0,unknown,2026.0
213,Weekend Match Buzz,excel,Sports,7.0,31.0,31.0,unknown,2026.0
214,Inflation Briefing,excel,Business,2.0,22.0,22.0,unknown,2026.0
215,Untitled record,excel_summary,excel_summary,0.15,,15.0,unknown,
216,Untitled record,encoding_test,encoding_test,3.0,,300.0,unknown,
217,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
218,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
219,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
220,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
221,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
222,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
223,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
224,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
225,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
226,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
227,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
228,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
229,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
230,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
231,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
232,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
233,Untitled record,scraped_html,scraped_html,0.15,,15.0,unknown,
