record_id,source_name,author,title,description,url,publishedAt,source_path,fetched_at,version,document_type,file_name,page_number,extraction_timestamp,extraction_library,text,tables,id,category,published_date,mentions,sentiment_score,sheet_name,Metric,Total Articles,Total Mentions,Average Mentions,Average Sentiment,Highest Mentions,Politics Articles,Business Articles,paragraph_number,run_number,bold,italic,underline,preview_text,name,year,wins,losses,nominations,awards,best_picture,raw_text,processed_text,content_text,language,published_year,content_length,title_length,rating_score,overview,genres,popularity,release_date,release_year,original_language,vote_average,vote_count,title_year_parentheses,title_any_year
617,unknown,,The Help,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2011,2026-04-09 15:22:02.930,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:52.603292,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2011.0,,,4.0,1.0,False,,,The Help,unknown,,8,8,0.08,The Help,scraped_json_api,8.0,,,unknown,0.08,1.0,,
619,unknown,,The Fantastic Flying Books of Mr. Morris Lessmore,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2011,2026-04-09 15:22:02.934,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:52.603297,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2011.0,,,1.0,1.0,False,,,The Fantastic Flying Books of Mr. Morris Lessmore,unknown,,49,49,0.49,The Fantastic Flying Books of Mr. Morris Lessmore,scraped_json_api,49.0,,,unknown,0.49,1.0,,
620,unknown,,The Shore,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2011,2026-04-09 15:22:02.935,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:52.603299,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2011.0,,,1.0,1.0,False,,,The Shore,unknown,,9,9,0.09,The Shore,scraped_json_api,9.0,,,unknown,0.09,1.0,,
622,unknown,,The Muppets,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2011,2026-04-09 15:22:02.937,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:52.603304,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2011.0,,,1.0,1.0,False,,,The Muppets,unknown,,11,11,0.1099999999999999,The Muppets,scraped_json_api,11.0,,,unknown,0.1099999999999999,1.0,,
645,unknown,,The Great Gatsby,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2013,2026-04-09 15:22:02.969,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:57.724275,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2013.0,,,2.0,2.0,False,,,The Great Gatsby,unknown,,16,16,0.16,The Great Gatsby,scraped_json_api,16.0,,,unknown,0.16,1.0,,
649,unknown,,The Lady in Number 6: Music Saved My Life,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2013,2026-04-09 15:22:02.973,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:57.724292,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2013.0,,,1.0,1.0,False,,,The Lady in Number 6: Music Saved My Life,unknown,,41,41,0.41,The Lady in Number 6: Music Saved My Life,scraped_json_api,41.0,,,unknown,0.41,1.0,,
651,unknown,,The Great Beauty,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2013,2026-04-09 15:22:02.979,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:57.724302,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2013.0,,,1.0,1.0,False,,,The Great Beauty,unknown,,16,16,0.16,The Great Beauty,scraped_json_api,16.0,,,unknown,0.16,1.0,,
654,unknown,,The Grand Budapest Hotel,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2014,2026-04-09 15:22:02.982,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:22:00.382414,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2014.0,,,9.0,4.0,False,,,The Grand Budapest Hotel,unknown,,24,24,0.24,The Grand Budapest Hotel,scraped_json_api,24.0,,,unknown,0.24,1.0,,
656,unknown,,The Imitation Game,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2014,2026-04-09 15:22:02.983,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:22:00.382423,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2014.0,,,8.0,1.0,False,,,The Imitation Game,unknown,,18,18,0.18,The Imitation Game,scraped_json_api,18.0,,,unknown,0.18,1.0,,
660,unknown,,The Theory of Everything,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2014,2026-04-09 15:22:02.986,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:22:00.382438,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2014.0,,,5.0,1.0,False,,,The Theory of Everything,unknown,,24,24,0.24,The Theory of Everything,scraped_json_api,24.0,,,unknown,0.24,1.0,,
